epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6219,2.40581,4.12475,1.65245,0.41212,0.41743,0.38066,0.14058,2.04748,2.29473,1.36132,0.00330808,0.00330808,0.0702273
2,81.9515,1.84352,2.21227,1.31862,0.57969,0.67166,0.69421,0.3138,1.71882,2.00707,1.19935,0.00650991,0.00650991,0.0400958
3,119.237,1.8022,1.94638,1.29879,0.71457,0.68713,0.78332,0.38232,1.62379,3.04156,1.17372,0.00957975,0.00957975,0.00983227
4,154.812,1.77485,1.60665,1.28955,0.76838,0.72562,0.80668,0.40271,1.61599,2.87951,1.16116,0.009406,0.009406,0.009406
5,189.497,1.71053,1.4816,1.26812,0.78471,0.74882,0.82436,0.36654,1.73468,2.1239,1.19125,0.009208,0.009208,0.009208
6,226.673,1.70874,1.3585,1.27758,0.82745,0.77881,0.86263,0.45641,1.52128,1.58862,1.11903,0.00901,0.00901,0.00901
7,261.843,1.69305,1.26903,1.25879,0.81905,0.75733,0.85351,0.37908,1.80939,1.5869,1.25053,0.008812,0.008812,0.008812
8,298.993,1.66983,1.18469,1.25313,0.88195,0.81353,0.88842,0.40782,1.72561,1.09381,1.18859,0.008614,0.008614,0.008614
9,336.663,1.68027,1.14426,1.25527,0.90971,0.8163,0.89871,0.40054,1.76816,1.14703,1.24028,0.008416,0.008416,0.008416
10,378.795,1.65744,1.08786,1.26434,0.88963,0.81684,0.91256,0.4574,1.60105,0.99928,1.13769,0.008218,0.008218,0.008218
11,417.384,1.64462,1.06066,1.2429,0.90361,0.85667,0.92708,0.46449,1.62944,1.12753,1.17184,0.00802,0.00802,0.00802
12,454.63,1.63857,1.07349,1.24567,0.91198,0.8399,0.92542,0.45062,1.65653,1.22343,1.18765,0.007822,0.007822,0.007822
13,491.864,1.62387,1.01211,1.24236,0.90929,0.87009,0.93247,0.50723,1.49443,0.79681,1.12187,0.007624,0.007624,0.007624
14,529.164,1.61374,0.99533,1.23341,0.92989,0.87623,0.94133,0.50282,1.4987,0.82566,1.12865,0.007426,0.007426,0.007426
15,565.117,1.61953,0.99307,1.24183,0.93136,0.86637,0.94328,0.42123,1.83224,1.01293,1.26882,0.007228,0.007228,0.007228
16,602.385,1.61133,0.97677,1.22996,0.92443,0.87853,0.94841,0.53832,1.43153,0.84415,1.08211,0.00703,0.00703,0.00703
17,638.136,1.61522,0.94697,1.24256,0.92754,0.86917,0.93916,0.51399,1.46748,0.78736,1.1044,0.006832,0.006832,0.006832
18,674.725,1.58716,0.94468,1.23545,0.90854,0.85854,0.92808,0.50622,1.40651,1.04583,1.08114,0.006634,0.006634,0.006634
19,710.756,1.59142,0.92559,1.2312,0.93405,0.89809,0.94975,0.49728,1.52975,0.7907,1.12874,0.006436,0.006436,0.006436
20,746.204,1.59345,0.93357,1.22976,0.95186,0.88161,0.95133,0.48707,1.57097,1.0596,1.13178,0.006238,0.006238,0.006238
21,783.452,1.5792,0.88376,1.22228,0.93163,0.90233,0.9584,0.52542,1.44114,0.8,1.0934,0.00604,0.00604,0.00604
22,819.416,1.56569,0.89972,1.21776,0.94009,0.89955,0.95473,0.50996,1.52392,0.96778,1.11929,0.005842,0.005842,0.005842
23,857.396,1.57545,0.88848,1.21429,0.94263,0.90698,0.96001,0.53694,1.43065,0.97873,1.08779,0.005644,0.005644,0.005644
